"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Switzerland",21,3,4,5,5,0,3
"Cameroon",21,4,4,4,4,0,1
"Denmark",21,4,4,4,4,0,2
"Cameroon",21,4,4,4,4,0,3
"Chile",21,5,7,7,4,3,1
"Nigeria",21,5,6,4,3,1,2
"Portugal",21,6,7,5,1,4,1
"Australia",21,6,4,2,4,-2,2
"Panama",21,6,3,3,2,1,3
"Uruguay",21,7,9,5,1,4,1
"Japan",21,7,4,2,1,1,2
"Korea Republic",21,8,5,6,5,1,1
"England",21,8,5,3,2,1,2
"Tunisia",21,8,4,6,3,3,3
"Scotland",21,9,4,3,2,1,1
"New Zealand",21,9,4,4,4,0,2
"Netherlands",21,9,4,1,2,-1,3
"Costa Rica",21,10,7,5,2,3,1
"Spain",21,10,4,3,2,1,2
"Uzbekistan",21,11,6,7,3,4,1
"Croatia",21,11,6,4,2,2,2
"Morocco",21,11,6,5,5,0,3
"Wales",21,12,7,4,2,2,1
"Saudi Arabia",21,12,6,3,2,1,2
"Italy",21,12,3,6,6,0,3
"Australia",22,1,5,3,2,1,1
"New Zealand",22,1,3,2,2,0,2
"Mexico",22,2,5,3,1,2,1
"Qatar",22,2,4,4,4,0,2
"Algeria",22,2,4,2,3,-1,3
"Ghana",22,3,6,10,5,5,1
"Canada",22,3,4,6,5,1,2
"Korea Republic",22,3,4,3,4,-1,3
"Jordan",22,4,6,10,6,4,1
"Austria",22,4,6,6,5,1,2
"France",22,4,6,3,5,-2,3
"Tunisia",22,5,6,5,4,1,1
"Iran",22,5,6,3,3,0,2
"Belgium",22,5,4,6,5,1,3
"Morocco",22,6,5,4,3,1,1
"Poland",22,6,5,3,2,1,2
"Haiti",22,6,3,8,4,4,3
"Japan",22,7,7,3,0,3,1
"Panama",22,7,5,6,3,3,2
"Argentina",22,7,4,5,3,2,3
"Saudi Arabia",22,8,6,4,2,2,1
"Spain",22,8,6,4,2,2,2
"Uzbekistan",22,9,5,4,3,1,1
"Egypt",22,9,4,6,3,3,2
"England",22,9,4,2,2,0,3
"Brazil",22,10,4,4,3,1,1
"South Africa",22,10,4,2,2,0,2
"Jamaica",22,10,4,2,3,-1,3
"Cameroon",22,11,7,7,4,3,1
"Croatia",22,11,4,5,5,0,2
"Norway",22,12,9,7,0,7,1
"Portugal",22,12,4,4,7,-3,2
"Poland",23,1,7,5,2,3,1
"Korea Republic",23,1,4,8,7,1,2
"Croatia",23,2,9,8,1,7,1
"Qatar",23,2,4,4,5,-1,2
"Canada",23,3,6,2,1,1,1
"Jordan",23,3,6,2,1,1,2
"Chile",23,3,3,3,2,1,3
"Haiti",23,4,5,3,2,1,1
"England",23,4,4,4,2,2,2
"Algeria",23,4,4,3,2,1,3
"Tunisia",23,5,9,7,1,6,1
"Uzbekistan",23,5,6,5,3,2,2
"Iran",23,6,6,4,4,0,1
"Senegal",23,6,5,5,3,2,2
"Italy",23,6,4,2,2,0,3
"Argentina",23,7,7,6,2,4,1
"Egypt",23,7,4,4,4,0,2
"Costa Rica",23,7,3,6,6,0,3
"Nigeria",23,8,6,7,2,5,1
"Portugal",23,8,6,2,1,1,2
"New Zealand",23,8,4,3,4,-1,3
"Cameroon",23,9,5,6,4,2,1
"Wales",23,9,5,5,3,2,2
"Brazil",23,9,4,4,5,-1,3
"Belgium",23,10,6,5,6,-1,1
"Ghana",23,10,5,8,4,4,2
"Paraguay",23,10,4,5,4,1,3
"Ecuador",23,11,7,5,3,2,1
"Netherlands",23,11,6,6,3,3,2
"Saudi Arabia",23,12,6,4,2,2,1
"Norway",23,12,6,4,3,1,2
"Denmark",23,12,3,2,3,-1,3
"Ghana",24,1,9,5,1,4,1
"United States",24,1,4,4,3,1,2
"Scotland",24,1,4,3,3,0,3
"Mexico",24,2,6,4,2,2,1
"Austria",24,2,6,4,3,1,2
"New Zealand",24,2,3,3,4,-1,3
"Norway",24,3,6,6,4,2,1
"Tunisia",24,3,6,2,2,0,2
"Jordan",24,3,4,4,4,0,3
"Uzbekistan",24,4,7,8,4,4,1
"France",24,4,4,2,3,-1,2
"Senegal",24,5,7,7,2,5,1
"England",24,5,3,2,2,0,2
"Nigeria",24,6,7,8,4,4,1
"Brazil",24,6,4,5,4,1,2
"Costa Rica",24,6,4,2,2,0,3
"Denmark",24,7,5,4,2,2,1
"Spain",24,7,5,4,2,2,2
"Haiti",24,7,5,4,3,1,3
"South Africa",24,8,6,8,3,5,1
"Wales",24,8,6,3,2,1,2
"Jamaica",24,8,4,4,4,0,3
"Italy",24,9,9,6,2,4,1
"Chile",24,9,6,6,3,3,2
"Paraguay",24,10,7,5,3,2,1
"Qatar",24,10,4,5,2,3,2
"Switzerland",24,10,4,3,2,1,3
"Japan",24,11,5,7,6,1,1
"Germany",24,11,5,6,5,1,2
"Saudi Arabia",24,12,5,6,2,4,1
"Algeria",24,12,5,1,0,1,2
"Portugal",24,12,3,3,3,0,3
"Wales",25,1,6,8,5,3,1
"United States",25,1,6,5,5,0,2
"Morocco",25,1,3,3,4,-1,3
"Ghana",25,2,5,5,2,3,1
"Scotland",25,2,5,6,5,1,2
"Croatia",25,2,3,3,3,0,3
"Iran",25,3,9,5,1,4,1
"Canada",25,3,4,3,2,1,2
"Jamaica",25,4,6,3,2,1,1
"Italy",25,4,4,4,4,0,2
"Uzbekistan",25,4,4,2,3,-1,3
"Portugal",25,5,7,7,3,4,1
"Panama",25,5,4,2,2,0,2
"Qatar",25,6,9,6,3,3,1
"France",25,6,4,2,2,0,2
"Egypt",25,6,4,1,1,0,3
"Saudi Arabia",25,7,4,3,2,1,1
"Algeria",25,7,4,3,3,0,2
"Algeria",25,7,4,3,3,0,3
"Argentina",25,8,7,9,3,6,1
"Japan",25,8,4,3,5,-2,2
"Jordan",25,9,6,7,1,6,1
"Poland",25,9,6,3,4,-1,2
"Nigeria",25,9,4,3,3,0,3
"England",25,10,7,7,3,4,1
"Chile",25,10,7,4,2,2,2
"Australia",25,11,7,6,3,3,1
"South Africa",25,11,4,2,2,0,2
"Netherlands",25,11,3,5,5,0,3
"Germany",25,12,6,3,5,-2,1
"Paraguay",25,12,4,6,2,4,2
"Haiti",25,12,4,1,2,-1,3
"United States",26,1,9,7,1,6,1
"Algeria",26,1,4,3,4,-1,2
"Morocco",26,2,9,7,4,3,1
"Switzerland",26,2,6,5,2,3,2
"Ecuador",26,2,3,2,4,-2,3
"Canada",26,3,7,4,1,3,1
"Norway",26,3,6,4,3,1,2
"Cameroon",26,4,7,6,2,4,1
"Scotland",26,4,7,4,2,2,2
"Costa Rica",26,5,9,7,0,7,1
"Nigeria",26,5,6,4,2,2,2
"Spain",26,5,3,1,3,-2,3
"South Africa",26,6,7,6,4,2,1
"Iran",26,6,7,5,3,2,2
"Netherlands",26,6,3,4,4,0,3
"Jamaica",26,7,7,4,1,3,1
"Uzbekistan",26,7,5,5,4,1,2
"France",26,7,3,2,4,-2,3
"Korea Republic",26,8,7,7,4,3,1
"New Zealand",26,8,6,5,2,3,2
"Senegal",26,8,4,4,5,-1,3
"Japan",26,9,7,4,2,2,1
"Panama",26,9,6,5,3,2,2
"England",26,9,4,3,2,1,3
"Saudi Arabia",26,10,7,5,3,2,1
"Portugal",26,10,4,4,3,1,2
"Egypt",26,10,3,6,6,0,3
"Austria",26,11,7,7,5,2,1
"Uruguay",26,11,4,5,5,0,2
"Haiti",26,11,3,8,5,3,3
"Belgium",26,12,7,4,2,2,1
"Paraguay",26,12,5,2,1,1,2
"Germany",27,1,9,7,2,5,1
"United States",27,1,6,4,3,1,2
"Cameroon",27,2,9,3,0,3,1
"Poland",27,2,6,2,1,1,2
"New Zealand",27,3,6,4,2,2,1
"Canada",27,3,6,4,3,1,2
"Australia",27,3,6,3,2,1,3
"Uzbekistan",27,4,5,6,1,5,1
"France",27,4,5,6,4,2,2
"Switzerland",27,4,4,2,6,-4,3
"Chile",27,5,7,6,4,2,1
"Morocco",27,5,6,4,2,2,2
"Saudi Arabia",27,5,4,1,1,0,3
"Croatia",27,6,6,4,2,2,1
"Korea Republic",27,6,4,4,4,0,2
"Costa Rica",27,6,4,2,3,-1,3
"Japan",27,7,7,3,1,2,1
"South Africa",27,7,5,6,2,4,2
"Wales",27,7,4,2,2,0,3
"Qatar",27,8,7,9,2,7,1
"Senegal",27,8,6,6,6,0,2
"Norway",27,8,4,4,5,-1,3
"Nigeria",27,9,7,6,3,3,1
"Uruguay",27,9,3,4,4,0,2
"Jamaica",27,10,7,6,3,3,1
"Spain",27,10,6,5,2,3,2
"Ghana",27,10,4,3,4,-1,3
"Argentina",27,11,4,2,1,1,1
"Denmark",27,11,4,3,3,0,2
"Egypt",27,11,4,3,3,0,3
"Jordan",27,12,9,5,1,4,1
"Scotland",27,12,4,4,3,1,2
"Ghana",28,1,7,5,2,3,1
"United States",28,1,5,4,3,1,2
"Cameroon",28,2,7,4,0,4,1
"Mexico",28,2,4,3,4,-1,2
"Australia",28,2,3,2,3,-1,3
"Iran",28,3,7,4,1,3,1
"Canada",28,3,4,4,4,0,2
"Morocco",28,4,5,3,2,1,1
"Costa Rica",28,4,4,4,3,1,2
"Spain",28,4,4,3,4,-1,3
"Uruguay",28,5,5,5,4,1,1
"Scotland",28,5,5,3,2,1,2
"Qatar",28,6,9,9,0,9,1
"Algeria",28,6,6,6,4,2,2
"Saudi Arabia",28,7,5,3,1,2,1
"Austria",28,7,5,3,2,1,2
"Portugal",28,7,4,2,3,-1,3
"New Zealand",28,8,7,3,0,3,1
"Germany",28,8,4,3,3,0,2
"Japan",28,8,4,3,3,0,3
"Jordan",28,9,7,6,2,4,1
"Netherlands",28,9,6,10,6,4,2
"Norway",28,9,4,5,7,-2,3
"Colombia",28,10,9,5,1,4,1
"Uzbekistan",28,10,4,3,2,1,2
"Italy",28,10,3,3,4,-1,3
"South Africa",28,11,9,8,4,4,1
"Poland",28,11,3,7,7,0,2
"Jamaica",28,11,3,5,7,-2,3
"Panama",28,12,7,5,3,2,1
"Chile",28,12,6,4,3,1,2
"Belgium",28,12,3,4,5,-1,3
"United States",29,1,9,6,2,4,1
"Ecuador",29,1,3,3,3,0,2
"Nigeria",29,2,6,7,2,5,1
"Germany",29,2,6,4,5,-1,2
"South Africa",29,3,6,4,3,1,1
"Wales",29,3,6,4,3,1,2
"Canada",29,3,4,3,3,0,3
"Cameroon",29,4,6,4,2,2,1
"Chile",29,4,4,1,2,-1,2
"Norway",29,4,4,2,4,-2,3
"Senegal",29,5,7,5,2,3,1
"France",29,5,5,3,2,1,2
"New Zealand",29,5,4,4,4,0,3
"Austria",29,6,9,6,2,4,1
"Saudi Arabia",29,6,4,5,5,0,2
"Egypt",29,6,4,4,5,-1,3
"Uruguay",29,7,7,6,3,3,1
"Qatar",29,7,4,5,4,1,2
"Jamaica",29,7,4,4,4,0,3
"Poland",29,8,7,3,0,3,1
"Korea Republic",29,8,5,3,2,1,2
"Ghana",29,8,4,3,2,1,3
"Colombia",29,9,7,3,0,3,1
"Haiti",29,9,4,5,3,2,2
"Tunisia",29,10,9,7,1,6,1
"Jordan",29,10,4,4,5,-1,2
"Costa Rica",29,11,7,4,2,2,1
"Croatia",29,11,7,4,2,2,2
"Australia",29,11,3,1,2,-1,3
"Denmark",29,12,7,6,3,3,1
"Italy",29,12,4,3,3,0,2
"Panama",29,12,3,2,3,-1,3
"Saudi Arabia",30,1,6,4,2,2,1
"Austria",30,1,6,4,4,0,2
"Norway",30,1,4,3,3,0,3
"Germany",30,2,7,4,1,3,1
"Mexico",30,2,4,2,2,0,2
"Australia",30,2,4,2,3,-1,3
"Korea Republic",30,3,7,4,2,2,1
"Canada",30,3,6,3,1,2,2
"Senegal",30,3,3,4,4,0,3
"Algeria",30,4,9,4,0,4,1
"Panama",30,4,6,4,2,2,2
"Scotland",30,5,7,6,2,4,1
"Jordan",30,5,4,4,3,1,2
"Switzerland",30,5,4,4,6,-2,3
"Spain",30,6,5,2,0,2,1
"Costa Rica",30,6,5,2,1,1,2
"Qatar",30,7,9,8,1,7,1
"Egypt",30,7,4,3,3,0,2
"Colombia",30,8,6,7,2,5,1
"Portugal",30,8,4,2,2,0,2
"Cameroon",30,8,4,2,5,-3,3
"Uzbekistan",30,9,9,5,1,4,1
"Tunisia",30,9,6,4,1,3,2
"Paraguay",30,9,3,3,3,0,3
"Haiti",30,10,6,8,3,5,1
"Chile",30,10,4,3,2,1,2
"Morocco",30,10,4,3,4,-1,3
"South Africa",30,11,6,2,1,1,1
"Croatia",30,11,4,4,4,0,2
"Iran",30,11,4,4,4,0,3
"Brazil",30,12,6,5,3,2,1
"New Zealand",30,12,6,3,1,2,2
"United States",31,1,7,3,1,2,1
"Ghana",31,1,4,2,1,1,2
"Mexico",31,2,7,4,1,3,1
"Ecuador",31,2,5,2,1,1,2
"Senegal",31,2,4,1,1,0,3
"Canada",31,3,9,4,0,4,1
"New Zealand",31,3,6,4,1,3,2
"Cameroon",31,4,7,5,2,3,1
"Germany",31,4,4,3,1,2,2
"Jamaica",31,4,4,4,3,1,3
"Algeria",31,5,7,6,4,2,1
"Costa Rica",31,5,6,6,5,1,2
"Uruguay",31,5,4,6,6,0,3
"Jordan",31,6,6,4,3,1,1
"Morocco",31,6,6,4,3,1,2
"Argentina",31,6,3,3,3,0,3
"Italy",31,7,4,4,4,0,1
"Norway",31,7,4,4,4,0,2
"Uzbekistan",31,7,4,4,4,0,3
"Panama",31,8,7,3,0,3,1
"Netherlands",31,8,4,2,2,0,2
"Paraguay",31,8,3,2,2,0,3
"Haiti",31,9,6,3,3,0,1
"Colombia",31,9,5,3,0,3,2
"Korea Republic",31,10,9,7,0,7,1
"Portugal",31,10,4,1,3,-2,2
"Nigeria",31,11,5,5,3,2,1
"Qatar",31,11,4,3,3,0,2
"Belgium",31,11,4,4,5,-1,3
"Brazil",31,12,6,6,3,3,1
"Egypt",31,12,4,3,5,-2,2
"Saudi Arabia",31,12,4,2,5,-3,3
"Scotland",32,1,7,2,0,2,1
"Colombia",32,1,4,4,2,2,2
"United States",32,1,4,2,4,-2,3
"Jordan",32,2,9,10,4,6,1
"Austria",32,2,4,4,3,1,2
"Mexico",32,2,3,4,6,-2,3
"Korea Republic",32,3,6,7,4,3,1
"Canada",32,3,4,6,7,-1,2
"Chile",32,3,4,3,5,-2,3
"Algeria",32,4,7,8,1,7,1
"Uzbekistan",32,4,4,4,3,1,2
"Netherlands",32,4,3,4,6,-2,3
"Haiti",32,5,7,5,0,5,1
"Uruguay",32,5,3,1,1,0,2
"Paraguay",32,6,6,6,3,3,1
"Costa Rica",32,6,5,5,3,2,2
"England",32,6,4,5,5,0,3
"Jamaica",32,7,7,5,2,3,1
"Denmark",32,7,5,5,3,2,2
"Iran",32,8,9,7,1,6,1
"Senegal",32,8,4,2,5,-3,2
"Nigeria",32,9,7,6,4,2,1
"Argentina",32,9,6,4,2,2,2
"Panama",32,10,7,5,3,2,1
"Croatia",32,10,5,8,3,5,2
"Australia",32,10,4,5,4,1,3
"Norway",32,11,5,5,3,2,1
"Ghana",32,11,4,6,5,1,2
"Poland",32,11,4,3,4,-1,3
"Qatar",32,12,7,4,0,4,1
"Switzerland",32,12,4,4,4,0,2
"Belgium",32,12,3,2,2,0,3
"Switzerland",33,1,7,6,4,2,1
"Iran",33,1,4,5,4,1,2
"South Africa",33,1,4,2,2,0,3
"Mexico",33,2,7,3,0,3,1
"Qatar",33,2,5,5,4,1,2
"Paraguay",33,2,3,2,3,-1,3
"Jordan",33,3,6,5,3,2,1
"Canada",33,3,6,5,4,1,2
"Morocco",33,3,6,3,3,0,3
"Wales",33,4,9,7,2,5,1
"Jamaica",33,4,4,6,5,1,2
"Panama",33,5,7,8,4,4,1
"Colombia",33,5,4,2,4,-2,2
"Australia",33,5,3,4,4,0,3
"Norway",33,6,7,6,3,3,1
"Denmark",33,6,6,4,3,1,2
"Uzbekistan",33,6,4,4,4,0,3
"New Zealand",33,7,9,4,1,3,1
"Korea Republic",33,7,2,2,3,-1,2
"Austria",33,8,6,3,3,0,1
"Costa Rica",33,8,4,4,3,1,2
"Nigeria",33,8,4,4,4,0,3
"Cameroon",33,9,9,7,2,5,1
"Croatia",33,9,4,3,4,-1,2
"Scotland",33,10,6,7,5,2,1
"Tunisia",33,10,6,7,5,2,2
"France",33,10,3,5,6,-1,3
"Belgium",33,11,7,4,2,2,1
"Saudi Arabia",33,11,4,5,3,2,2
"Germany",33,12,7,3,0,3,1
"Haiti",33,12,6,5,1,4,2
"Algeria",33,12,4,4,3,1,3
"Egypt",34,1,6,7,4,3,1
"Ecuador",34,1,6,6,4,2,2
"Wales",34,1,4,4,4,0,3
"Scotland",34,2,6,5,2,3,1
"Jordan",34,2,6,4,2,2,2
"Mexico",34,2,3,4,6,-2,3
"Qatar",34,3,7,9,5,4,1
"Canada",34,3,4,5,5,0,2
"Uruguay",34,4,6,6,4,2,1
"Germany",34,4,4,1,1,0,2
"Cameroon",34,4,4,5,6,-1,3
"Australia",34,5,9,9,1,8,1
"France",34,5,4,2,5,-3,2
"Tunisia",34,6,9,3,0,3,1
"Paraguay",34,6,4,2,2,0,2
"Nigeria",34,7,9,8,2,6,1
"Panama",34,7,6,5,3,2,2
"New Zealand",34,8,9,9,2,7,1
"Denmark",34,8,3,3,4,-1,2
"England",34,8,3,1,3,-2,3
"Spain",34,9,6,8,4,4,1
"Uzbekistan",34,9,6,3,4,-1,2
"Morocco",34,9,3,4,3,1,3
"South Africa",34,10,9,5,1,4,1
"Iran",34,10,4,4,4,0,2
"Argentina",34,10,3,2,3,-1,3
"Italy",34,11,7,8,4,4,1
"Ghana",34,11,6,3,2,1,2
"Netherlands",34,11,4,7,4,3,3
"Poland",34,12,9,9,1,8,1
"Saudi Arabia",34,12,4,2,5,-3,2
"Algeria",34,12,3,3,5,-2,3
"New Zealand",35,1,7,6,4,2,1
"Senegal",35,1,7,4,2,2,2
"United States",35,1,3,5,5,0,3
"Saudi Arabia",35,2,7,3,1,2,1
"Tunisia",35,2,6,5,4,1,2
"Norway",35,2,3,4,4,0,3
"Austria",35,3,4,3,3,0,1
"Canada",35,3,4,3,3,0,2
"Jordan",35,3,4,1,1,0,3
"Costa Rica",35,4,6,5,4,1,1
"Egypt",35,4,4,3,2,1,2
"England",35,4,4,3,3,0,3
"Italy",35,5,7,6,3,3,1
"Cameroon",35,5,4,8,4,4,2
"Japan",35,5,3,4,4,0,3
"Korea Republic",35,6,7,6,2,4,1
"Panama",35,6,5,4,1,3,2
"Scotland",35,7,7,4,1,3,1
"South Africa",35,7,4,4,3,1,2
"Haiti",35,8,6,7,2,5,1
"Brazil",35,8,6,3,4,-1,2
"Algeria",35,9,7,5,3,2,1
"Portugal",35,9,4,3,3,0,2
"Ecuador",35,9,3,4,5,-1,3
"Ghana",35,10,7,11,5,6,1
"Iran",35,10,5,6,3,3,2
"Denmark",35,10,4,4,5,-1,3
"Qatar",35,11,7,3,1,2,1
"Belgium",35,11,4,5,3,2,2
"Jamaica",35,11,4,3,3,0,3
"Uzbekistan",35,12,7,6,0,6,1
"Germany",35,12,4,3,5,-2,2
"Algeria",36,1,9,4,1,3,1
"Wales",36,1,2,7,8,-1,2
"Netherlands",36,2,6,2,1,1,1
"Scotland",36,2,4,3,2,1,2
"Mexico",36,2,4,3,3,0,3
"Egypt",36,3,9,5,2,3,1
"Canada",36,3,3,3,4,-1,2
"Germany",36,3,3,2,3,-1,3
"Panama",36,4,6,8,6,2,1
"Iran",36,4,6,5,4,1,2
"Austria",36,4,3,5,6,-1,3
"Norway",36,5,6,7,2,5,1
"Croatia",36,5,6,8,5,3,2
"New Zealand",36,5,4,5,6,-1,3
"Tunisia",36,6,9,7,2,5,1
"Costa Rica",36,6,4,4,1,3,2
"Australia",36,7,7,6,1,5,1
"Poland",36,7,5,2,1,1,2
"Cameroon",36,7,3,5,4,1,3
"Chile",36,8,6,4,4,0,1
"Qatar",36,8,4,4,2,2,2
"Nigeria",36,8,4,6,5,1,3
"France",36,9,4,7,4,3,1
"Switzerland",36,9,4,3,4,-1,2
"Ghana",36,9,4,4,6,-2,3
"Jamaica",36,10,7,10,3,7,1
"Colombia",36,10,7,7,4,3,2
"Italy",36,11,7,5,3,2,1
"Haiti",36,11,6,8,3,5,2
"Uzbekistan",36,12,9,5,2,3,1
"Morocco",36,12,6,3,1,2,2
"Belgium",36,12,3,3,5,-2,3
"Uzbekistan",37,1,7,6,2,4,1
"Germany",37,1,5,4,3,1,2
"Morocco",37,1,4,3,4,-1,3
"Korea Republic",37,2,9,8,3,5,1
"Mexico",37,2,4,5,5,0,2
"Chile",37,2,4,4,4,0,3
"Qatar",37,3,9,9,3,6,1
"Paraguay",37,3,4,1,4,-3,2
"Haiti",37,4,7,6,1,5,1
"Switzerland",37,4,4,4,5,-1,2
"Scotland",37,5,9,4,0,4,1
"Tunisia",37,5,6,5,4,1,2
"Panama",37,5,3,4,4,0,3
"Croatia",37,6,6,6,4,2,1
"Costa Rica",37,6,6,6,5,1,2
"England",37,6,6,4,4,0,3
"Jordan",37,7,7,7,1,6,1
"Spain",37,7,6,8,6,2,2
"Nigeria",37,7,4,2,2,0,3
"Japan",37,8,5,4,2,2,1
"Uruguay",37,8,5,3,1,2,2
"Wales",37,8,4,4,4,0,3
"New Zealand",37,9,7,6,2,4,1
"Norway",37,9,4,4,5,-1,2
"Belgium",37,9,4,2,3,-1,3
"Denmark",37,10,7,5,3,2,1
"Ecuador",37,10,6,5,4,1,2
"Poland",37,11,7,3,0,3,1
"Cameroon",37,11,4,2,3,-1,2
"Egypt",37,12,6,4,3,1,1
"Austria",37,12,4,3,2,1,2
"Saudi Arabia",37,12,4,3,4,-1,3
"Tunisia",38,1,6,2,1,1,1
"New Zealand",38,1,4,2,2,0,2
"United States",38,1,4,1,1,0,3
"South Africa",38,2,4,5,5,0,1
"Mexico",38,2,4,3,3,0,2
"Poland",38,2,4,3,3,0,3
"Algeria",38,3,7,5,1,4,1
"Netherlands",38,3,4,3,4,-1,2
"Uzbekistan",38,3,3,2,2,0,3
"Scotland",38,4,7,8,1,7,1
"Saudi Arabia",38,4,4,5,5,0,2
"Portugal",38,4,3,4,4,0,3
"Costa Rica",38,5,7,2,0,2,1
"Morocco",38,5,6,3,2,1,2
"Argentina",38,5,3,5,4,1,3
"Jordan",38,6,7,2,0,2,1
"Nigeria",38,6,4,4,3,1,2
"Cameroon",38,7,9,3,0,3,1
"France",38,7,6,6,3,3,2
"Australia",38,8,5,2,0,2,1
"Spain",38,8,4,2,2,0,2
"Denmark",38,8,3,1,1,0,3
"Switzerland",38,9,7,5,3,2,1
"Jamaica",38,9,5,6,2,4,2
"Qatar",38,9,4,4,4,0,3
"Italy",38,10,7,7,5,2,1
"Wales",38,10,6,7,4,3,2
"Belgium",38,11,6,2,1,1,1
"Korea Republic",38,11,6,2,1,1,2
"Egypt",38,12,7,4,2,2,1
"England",38,12,4,3,4,-1,2
"Chile",38,12,3,3,3,0,3
"Cameroon",39,1,7,6,2,4,1
"Chile",39,1,6,2,3,-1,2
"New Zealand",39,2,9,7,0,7,1
"Nigeria",39,2,4,6,4,2,2
"Mexico",39,2,4,4,7,-3,3
"Norway",39,3,6,5,3,2,1
"Ecuador",39,3,6,4,2,2,2
"Canada",39,3,4,4,3,1,3
"Costa Rica",39,4,6,8,2,6,1
"Morocco",39,4,5,2,1,1,2
"Germany",39,4,4,3,6,-3,3
"Panama",39,5,7,3,0,3,1
"Argentina",39,5,6,4,3,1,2
"Iran",39,5,4,3,4,-1,3
"Japan",39,6,7,3,1,2,1
"Haiti",39,6,6,3,1,2,2
"Austria",39,6,4,2,1,1,3
"Algeria",39,7,7,5,1,4,1
"Qatar",39,7,6,4,3,1,2
"Uruguay",39,7,4,2,2,0,3
"Jordan",39,8,6,6,5,1,1
"Italy",39,8,4,4,3,1,2
"Paraguay",39,8,4,4,4,0,3
"Uzbekistan",39,9,7,7,4,3,1
"Jamaica",39,9,5,4,3,1,2
"Ghana",39,10,7,6,0,6,1
"Australia",39,10,4,1,2,-1,2
"Saudi Arabia",39,11,6,5,3,2,1
"Egypt",39,11,4,3,3,0,2
"Brazil",39,11,4,2,2,0,3
"South Africa",39,12,9,8,0,8,1
"Wales",39,12,6,3,4,-1,2
"South Africa",40,1,7,5,1,4,1
"Denmark",40,1,5,4,3,1,2
"Scotland",40,2,6,4,4,0,1
"Chile",40,2,4,5,4,1,2
"Mexico",40,2,4,4,4,0,3
"Netherlands",40,3,7,3,1,2,1
"Cameroon",40,3,6,5,4,1,2
"Paraguay",40,3,4,5,5,0,3
"Tunisia",40,4,6,3,1,2,1
"Japan",40,4,4,2,2,0,2
"Argentina",40,4,4,2,3,-1,3
"Australia",40,5,9,5,1,4,1
"Senegal",40,5,4,5,4,1,2
"Italy",40,5,4,2,2,0,3
"Haiti",40,6,6,4,1,3,1
"Croatia",40,6,4,1,2,-1,2
"Croatia",40,6,4,1,2,-1,3
"France",40,7,9,5,2,3,1
"Jordan",40,7,4,4,4,0,2
"Colombia",40,8,9,6,1,5,1
"Ghana",40,8,6,5,2,3,2
"Poland",40,9,7,2,0,2,1
"Qatar",40,9,4,6,2,4,2
"England",40,9,4,3,2,1,3
"New Zealand",40,10,9,7,3,4,1
"Brazil",40,10,4,3,3,0,2
"Saudi Arabia",40,11,6,4,4,0,1
"Germany",40,11,4,4,3,1,2
"Belgium",40,11,4,3,3,0,3
"Switzerland",40,12,6,4,4,0,1
"Algeria",40,12,4,6,4,2,2
"Spain",40,12,4,4,5,-1,3
"Scotland",41,1,6,8,7,1,1
"Ecuador",41,1,4,4,4,0,2
"United States",41,1,4,3,3,0,3
"Chile",41,2,9,5,2,3,1
"Mexico",41,2,4,5,5,0,2
